title,Likes,Playback_volume,Number_of_barrages,Number_of_coins_invested,Collection_volume,Forwarding_volume
奥 波 海 默,4.8万,54.7万,449,1.5万,1.7万,1.1万
𝙄 𝘾𝘼𝙉'𝙏,9.3万,70.2万,439,2.3万,3.6万,4100
黑暗求生第一天获得几只动物，别人饿肚子的时候我大口吃东西,1155,37.7万,8,226,1.8万,4
『世界上最珍贵的感情莫过于亲情』,7903,44.5万,187,381,5606,93
地球意识 02 所有的爱都离我而去,3237,131.7万,44,365,2.8万,7
这究竟是个啥车,3.7万,69.1万,239,107,1436,109
好家伙，谁教你这样剪的？,3.9万,48.4万,206,7093,9263,600
"《肯定》""一秒钟瞬间就已注定，两个人故事你我决定...""",11.4万,44.2万,620,3.0万,4.2万,2690
这壁纸真不错,2.6万,22.6万,148,465,4245,4540
真不真实 ？,8257,21.1万,45,26,589,39
28岁抽烟有问题吗,1.3万,29.4万,27,171,2422,62
“什么，不认识，咕哒子，EX咖喱棒”,3.1万,34.9万,44,273,2403,171
初号机：可以了吗，我要断电了。,1.2万,28.0万,91,216,2268,390
有一位从小就喜欢你的少女是一种什么体验？,1.0万,25.2万,162,600,5871,152
晃在，主公在！“我大魏的将军，无不以一当千！”【镇魂街】,1.6万,22.0万,235,3545,5398,409
"""这个世界从来都不缺遗憾。""",3.0万,14.6万,194,2907,8014,842
女帝在这个剧场版里差点一脚踹出大结局[泪奔],3499,13.2万,16,7,171,15
哟火影出新皮肤了哇,8784,13.2万,15,29,690,38
地球意识 08 人类的末日来临，虐杀时刻到了,1125,16.2万,3,71,5544,3
【Alan Becker整活】暑假补课现状,1317,14.6万,329,195,3615,32
天官赐福第二季：定档10月18！“只为你遇见一生遥望 成为黑暗里行走的光”,8741,13.1万,187,1546,2257,927
“多年以后再看，才明白这是多么讽刺！”,1.1万,14.4万,245,2652,3266,149
被学妹发现了自己珍藏的小黄书该怎么办？,7243,16.0万,102,206,2887,82
《 以 眉 识 人 》,1.5万,19.8万,14,103,1147,38
八gua呀路~,1.5万,20.0万,12,240,2027,281
让帝宝唱个数字歌祝福你们吧,2.1万,16.2万,122,2268,9785,9438
"""一拳秒杀巨人""",242,20.1万,1,6,844,分享
被富婆女朋友包养是一种什么体验？,7568,17.0万,52,237,2886,97
